Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count
RES-00247,Candidate 0247,"Python, SQL, Pandas",3.3,Bachelor's,1,ML Engineer,Hire,64943,3
RES-00248,Candidate 0248,"Python, Networking, Linux",0.2,PhD,1,Software Developer,Hire,51270,9
RES-00249,Candidate 0249,"Python, SQL, Pandas",3.2,Bachelor's,1,Data Analyst,Hire,59756,3
RES-00250,Candidate 0250,"JavaScript, React, HTML, CSS",4.4,Master's,3,Web Developer,Hire,93243,7
RES-00251,Candidate 0251,"Java, HTML, CSS",5.8,Bachelor's,2,Cybersecurity Analyst,Hire,81657,2
RES-00252,Candidate 0252,"Python, Scikit-learn, SQL",3.2,Master's,0,Software Developer,Hire,76545,5
RES-00253,Candidate 0253,"Python, SQL, Pandas",2.8,Bachelor's,3,Software Developer,Reject,80274,4
RES-00254,Candidate 0254,"JavaScript, React, HTML, CSS",3.5,Bachelor's,2,ML Engineer,Hire,98882,5
RES-00255,Candidate 0255,"JavaScript, React, HTML, CSS",3.9,Bachelor's,5,Data Analyst,Hire,25000,2
RES-00256,Candidate 0256,"Java, HTML, CSS",0.6,Master's,3,Data Analyst,Hire,31055,4
RES-00257,Candidate 0257,"Python, Networking, Linux",5.6,Bachelor's,4,Data Analyst,Hire,62859,6
RES-00258,Candidate 0258,"Python, Networking, Linux",9.0,Master's,2,Software Developer,Hire,27623,7
RES-00259,Candidate 0259,"Python, SQL, Pandas",5.5,PhD,5,Data Analyst,Hire,83595,6
RES-00260,Candidate 0260,"Python, SQL, Pandas",0.0,Master's,2,Software Developer,Reject,57206,1
RES-00261,Candidate 0261,"Python, SQL, Pandas",3.7,Bachelor's,2,ML Engineer,Hire,69616,2
RES-00262,Candidate 0262,"Python, SQL, Pandas",0.0,Master's,2,Cybersecurity Analyst,Reject,70722,1
RES-00263,Candidate 0263,"Python, Scikit-learn, SQL",0.0,Bachelor's,2,Web Developer,Reject,75841,1
RES-00264,Candidate 0264,"JavaScript, React, HTML, CSS",5.1,Bachelor's,1,Cybersecurity Analyst,Reject,79832,6
RES-00265,Candidate 0265,"Python, Scikit-learn, SQL",3.7,Bachelor's,2,Data Analyst,Hire,43464,4
RES-00266,Candidate 0266,"Java, HTML, CSS",1.8,Bachelor's,1,Software Developer,Hire,44835,9
RES-00267,Candidate 0267,"Java, HTML, CSS",0.0,Bachelor's,2,ML Engineer,Hire,61499,3
RES-00268,Candidate 0268,"Python, SQL, Pandas",0.3,Bachelor's,2,Software Developer,Hire,64432,3
RES-00269,Candidate 0269,"Python, Scikit-learn, SQL",3.9,Master's,2,ML Engineer,Reject,52707,3
RES-00270,Candidate 0270,"Python, Scikit-learn, SQL",3.6,Bachelor's,3,Data Analyst,Hire,36093,3
RES-00271,Candidate 0271,"Java, HTML, CSS",5.2,Master's,3,Software Developer,Reject,29534,2
RES-00272,Candidate 0272,"Java, HTML, CSS",7.3,Master's,2,Data Analyst,Hire,66652,2
RES-00273,Candidate 0273,"JavaScript, React, HTML, CSS",2.7,Master's,3,Data Analyst,Hire,118089,7
RES-00274,Candidate 0274,"JavaScript, React, HTML, CSS",4.7,Bachelor's,1,Cybersecurity Analyst,Reject,93025,3
RES-00275,Candidate 0275,"Java, HTML, CSS",3.2,PhD,2,Data Analyst,Reject,64155,4
RES-00276,Candidate 0276,"Python, Scikit-learn, SQL",2.3,Bachelor's,4,Data Analyst,Hire,139416,4
RES-00277,Candidate 0277,"Java, HTML, CSS",2.9,Master's,3,Data Analyst,Hire,40926,6
RES-00278,Candidate 0278,"Java, HTML, CSS",5.9,Master's,2,Software Developer,Hire,48363,4
RES-00279,Candidate 0279,"JavaScript, React, HTML, CSS",0.9,Bachelor's,2,Data Analyst,Hire,52761,5
RES-00280,Candidate 0280,"Python, Networking, Linux",6.4,Bachelor's,2,Data Analyst,Hire,71474,3
RES-00281,Candidate 0281,"Python, SQL, Pandas",7.2,Bachelor's,2,Cybersecurity Analyst,Hire,102868,5
RES-00282,Candidate 0282,"JavaScript, React, HTML, CSS",3.6,Bachelor's,2,Cybersecurity Analyst,Hire,43789,4
RES-00283,Candidate 0283,"Python, Scikit-learn, SQL",4.1,Master's,0,ML Engineer,Hire,71487,4
RES-00284,Candidate 0284,"JavaScript, React, HTML, CSS",0.0,Bachelor's,2,ML Engineer,Reject,110756,2
RES-00285,Candidate 0285,"Java, HTML, CSS",9.4,Master's,4,Software Developer,Hire,25000,7
RES-00286,Candidate 0286,"Python, Networking, Linux",5.9,Master's,6,ML Engineer,Hire,75820,4
RES-00287,Candidate 0287,"Python, SQL, Pandas",3.9,Master's,3,Data Analyst,Hire,60776,6
RES-00288,Candidate 0288,"Python, Scikit-learn, SQL",3.6,Master's,1,ML Engineer,Reject,78731,7
RES-00289,Candidate 0289,"Python, Scikit-learn, SQL",4.6,Master's,1,Data Analyst,Reject,26628,3
RES-00290,Candidate 0290,"Java, HTML, CSS",1.9,Bachelor's,2,Data Analyst,Hire,95655,5
RES-00291,Candidate 0291,"Java, HTML, CSS",4.2,Bachelor's,2,Software Developer,Hire,51287,5
RES-00292,Candidate 0292,"Java, HTML, CSS",1.2,Bachelor's,2,ML Engineer,Reject,77849,4
RES-00293,Candidate 0293,"Python, SQL, Pandas",4.7,Bachelor's,1,ML Engineer,Reject,69491,6
RES-00294,Candidate 0294,"Java, HTML, CSS",1.8,Bachelor's,2,Data Analyst,Reject,52756,4
RES-00295,Candidate 0295,"Java, HTML, CSS",5.7,Bachelor's,1,ML Engineer,Reject,87630,4
RES-00296,Candidate 0296,"Java, HTML, CSS",3.2,Master's,2,ML Engineer,Hire,29544,7
RES-00297,Candidate 0297,"Python, SQL, Pandas",4.2,Bachelor's,2,Web Developer,Hire,25000,7
RES-00298,Candidate 0298,"JavaScript, React, HTML, CSS",10.9,Bachelor's,2,Web Developer,Hire,47608,5
RES-00299,Candidate 0299,"Python, SQL, Pandas",5.5,Master's,3,Data Analyst,Hire,38520,3
RES-00300,Candidate 0300,"Python, Networking, Linux",4.2,Master's,1,Data Analyst,Hire,45999,2
RES-00301,Candidate 0301,"Python, Networking, Linux",3.6,Bachelor's,3,Software Developer,Reject,78261,2
RES-00302,Candidate 0302,"JavaScript, React, HTML, CSS",0.9,Bachelor's,1,Web Developer,Reject,58929,4
RES-00303,Candidate 0303,"JavaScript, React, HTML, CSS",6.2,Bachelor's,1,ML Engineer,Reject,69256,3
RES-00304,Candidate 0304,"Python, SQL, Pandas",7.5,Master's,4,Web Developer,Hire,70151,4
RES-00305,Candidate 0305,"JavaScript, React, HTML, CSS",3.7,Bachelor's,2,Software Developer,Hire,84752,5
RES-00306,Candidate 0306,"JavaScript, React, HTML, CSS",7.7,Bachelor's,3,Data Analyst,Hire,71795,6
RES-00307,Candidate 0307,"JavaScript, React, HTML, CSS",3.2,Bachelor's,1,Web Developer,Reject,56177,8
RES-00308,Candidate 0308,"Python, SQL, Pandas",0.0,Master's,2,ML Engineer,Hire,45690,4
RES-00309,Candidate 0309,"Java, HTML, CSS",1.9,Bachelor's,0,Web Developer,Hire,36755,6
RES-00310,Candidate 0310,"JavaScript, React, HTML, CSS",0.9,Bachelor's,3,Software Developer,Reject,71885,7
RES-00311,Candidate 0311,"JavaScript, React, HTML, CSS",2.8,Bachelor's,6,Cybersecurity Analyst,Hire,72856,2
RES-00312,Candidate 0312,"Python, SQL, Pandas",5.1,Bachelor's,2,Cybersecurity Analyst,Reject,33414,6
RES-00313,Candidate 0313,"JavaScript, React, HTML, CSS",1.2,Bachelor's,4,Web Developer,Reject,38855,3
RES-00314,Candidate 0314,"Python, Networking, Linux",3.3,Master's,1,Data Analyst,Hire,88143,4
RES-00315,Candidate 0315,"Python, SQL, Pandas",4.0,Master's,1,ML Engineer,Hire,53239,6
RES-00316,Candidate 0316,"Python, SQL, Pandas",1.7,Bachelor's,2,ML Engineer,Reject,69894,3
RES-00317,Candidate 0317,"Python, Scikit-learn, SQL",1.2,PhD,3,Software Developer,Hire,46005,10
RES-00318,Candidate 0318,"Python, Networking, Linux",3.7,Bachelor's,3,Web Developer,Hire,58365,4
RES-00319,Candidate 0319,"Python, SQL, Pandas",5.7,Master's,6,Data Analyst,Hire,25969,3
RES-00320,Candidate 0320,"JavaScript, React, HTML, CSS",2.0,Bachelor's,2,Cybersecurity Analyst,Hire,98863,3
RES-00321,Candidate 0321,"Python, SQL, Pandas",1.6,Master's,1,Cybersecurity Analyst,Hire,25000,3
RES-00322,Candidate 0322,"Python, SQL, Pandas",3.1,Bachelor's,1,Cybersecurity Analyst,Reject,85738,5
RES-00323,Candidate 0323,"Python, Networking, Linux",4.2,Master's,4,Data Analyst,Hire,27825,4
RES-00324,Candidate 0324,"JavaScript, React, HTML, CSS",2.1,Master's,1,Cybersecurity Analyst,Hire,62540,3
RES-00325,Candidate 0325,"Python, SQL, Pandas",2.7,Bachelor's,1,Web Developer,Reject,75615,2
RES-00326,Candidate 0326,"Python, Networking, Linux",2.9,Master's,0,Data Analyst,Hire,36031,8
RES-00327,Candidate 0327,"Java, HTML, CSS",0.8,PhD,3,ML Engineer,Reject,57442,3
RES-00328,Candidate 0328,"JavaScript, React, HTML, CSS",3.1,Master's,2,Software Developer,Hire,48058,7
RES-00329,Candidate 0329,"Python, Networking, Linux",2.1,Bachelor's,1,Cybersecurity Analyst,Reject,67480,4
RES-00330,Candidate 0330,"Python, SQL, Pandas",7.5,Bachelor's,2,Cybersecurity Analyst,Hire,51004,4
RES-00331,Candidate 0331,"Python, Networking, Linux",2.2,PhD,2,ML Engineer,Hire,25000,3
RES-00332,Candidate 0332,"Python, Networking, Linux",4.6,Master's,1,Data Analyst,Hire,76636,3
RES-00333,Candidate 0333,"Python, SQL, Pandas",4.4,Master's,3,Web Developer,Hire,96735,4
RES-00334,Candidate 0334,"Python, Networking, Linux",0.7,Bachelor's,2,ML Engineer,Reject,103481,2
RES-00335,Candidate 0335,"Python, Scikit-learn, SQL",0.4,Bachelor's,3,ML Engineer,Reject,98584,5
RES-00336,Candidate 0336,"JavaScript, React, HTML, CSS",2.4,Bachelor's,1,Web Developer,Reject,67553,3
RES-00337,Candidate 0337,"Python, Networking, Linux",5.2,Master's,0,ML Engineer,Reject,60572,3
RES-00338,Candidate 0338,"JavaScript, React, HTML, CSS",2.1,Bachelor's,3,ML Engineer,Hire,58946,6
RES-00339,Candidate 0339,"Python, Networking, Linux",1.9,Master's,3,ML Engineer,Hire,88286,1
RES-00340,Candidate 0340,"Python, Networking, Linux",0.0,Bachelor's,3,ML Engineer,Reject,50092,3
RES-00341,Candidate 0341,"JavaScript, React, HTML, CSS",2.5,Bachelor's,1,Cybersecurity Analyst,Hire,31172,3
RES-00342,Candidate 0342,"Python, SQL, Pandas",4.3,Master's,0,Data Analyst,Reject,42782,2
RES-00343,Candidate 0343,"Python, Scikit-learn, SQL",4.6,Bachelor's,1,ML Engineer,Reject,69000,2
RES-00344,Candidate 0344,"Python, Networking, Linux",4.6,Bachelor's,3,Cybersecurity Analyst,Hire,71530,5
RES-00345,Candidate 0345,"JavaScript, React, HTML, CSS",2.7,Bachelor's,2,Data Analyst,Hire,86089,5
RES-00346,Candidate 0346,"Java, HTML, CSS",2.9,Bachelor's,1,Web Developer,Reject,52181,1
RES-00347,Candidate 0347,"JavaScript, React, HTML, CSS",5.6,Master's,3,ML Engineer,Hire,60875,7
RES-00348,Candidate 0348,"JavaScript, React, HTML, CSS",3.2,Master's,1,Web Developer,Hire,80642,4
RES-00349,Candidate 0349,"Python, Scikit-learn, SQL",0.0,PhD,4,Web Developer,Hire,69073,3
RES-00350,Candidate 0350,"Python, Networking, Linux",6.1,Bachelor's,2,Cybersecurity Analyst,Reject,63673,6
RES-00351,Candidate 0351,"Java, HTML, CSS",0.8,Bachelor's,1,Data Analyst,Reject,55235,8
RES-00352,Candidate 0352,"Python, Scikit-learn, SQL",6.9,Master's,2,Cybersecurity Analyst,Hire,80812,2
RES-00353,Candidate 0353,"Python, Scikit-learn, SQL",7.7,Bachelor's,2,ML Engineer,Hire,25000,3
RES-00354,Candidate 0354,"Python, Networking, Linux",5.4,Bachelor's,4,Web Developer,Hire,70807,4
RES-00355,Candidate 0355,"Python, Networking, Linux",5.8,Bachelor's,2,Software Developer,Reject,92916,5
RES-00356,Candidate 0356,"JavaScript, React, HTML, CSS",8.1,Bachelor's,2,Data Analyst,Hire,57964,1
RES-00357,Candidate 0357,"JavaScript, React, HTML, CSS",0.7,Bachelor's,1,Cybersecurity Analyst,Reject,75564,3
RES-00358,Candidate 0358,"Python, SQL, Pandas",4.1,Master's,2,Web Developer,Hire,54435,1
RES-00359,Candidate 0359,"JavaScript, React, HTML, CSS",4.1,Master's,4,Data Analyst,Reject,81164,3
RES-00360,Candidate 0360,"Java, HTML, CSS",1.1,Master's,1,Data Analyst,Reject,61585,5
RES-00361,Candidate 0361,"JavaScript, React, HTML, CSS",8.5,Master's,3,ML Engineer,Hire,74124,7
RES-00362,Candidate 0362,"Python, Networking, Linux",2.0,Bachelor's,3,Cybersecurity Analyst,Reject,62818,0
RES-00363,Candidate 0363,"Python, Scikit-learn, SQL",1.7,Master's,0,ML Engineer,Reject,80941,6
RES-00364,Candidate 0364,"Python, Networking, Linux",4.2,Bachelor's,1,Cybersecurity Analyst,Hire,83223,3
RES-00365,Candidate 0365,"Python, Networking, Linux",6.1,Bachelor's,1,Data Analyst,Reject,58976,2
RES-00366,Candidate 0366,"Python, SQL, Pandas",2.0,Master's,4,ML Engineer,Hire,42560,5
RES-00367,Candidate 0367,"Java, HTML, CSS",2.0,Bachelor's,4,Software Developer,Hire,44122,9
RES-00368,Candidate 0368,"Python, Networking, Linux",4.8,Bachelor's,1,Web Developer,Reject,26547,4
RES-00369,Candidate 0369,"Python, Scikit-learn, SQL",0.0,Bachelor's,1,ML Engineer,Reject,50187,1
RES-00370,Candidate 0370,"JavaScript, React, HTML, CSS",1.6,Bachelor's,5,Cybersecurity Analyst,Hire,64757,2
RES-00371,Candidate 0371,"Python, SQL, Pandas",1.4,Bachelor's,1,Data Analyst,Hire,51056,5
RES-00372,Candidate 0372,"Java, HTML, CSS",2.4,Bachelor's,2,Web Developer,Hire,94209,7
RES-00373,Candidate 0373,"Python, Scikit-learn, SQL",3.1,Bachelor's,0,Data Analyst,Hire,52630,1
RES-00374,Candidate 0374,"Python, SQL, Pandas",8.1,Bachelor's,1,Cybersecurity Analyst,Hire,63870,9
RES-00375,Candidate 0375,"Python, Scikit-learn, SQL",5.8,Bachelor's,0,Cybersecurity Analyst,Reject,80463,4
RES-00376,Candidate 0376,"Python, Networking, Linux",3.6,PhD,3,ML Engineer,Reject,60720,1
RES-00377,Candidate 0377,"Python, Networking, Linux",2.9,Bachelor's,4,Software Developer,Hire,81531,3
RES-00378,Candidate 0378,"Python, SQL, Pandas",5.7,Bachelor's,2,Software Developer,Reject,99590,1
RES-00379,Candidate 0379,"Python, SQL, Pandas",4.6,Master's,1,ML Engineer,Reject,75846,2
RES-00380,Candidate 0380,"Python, SQL, Pandas",5.7,Bachelor's,3,Data Analyst,Hire,41271,8
RES-00381,Candidate 0381,"Python, Networking, Linux",7.0,Bachelor's,5,Cybersecurity Analyst,Reject,79170,6
RES-00382,Candidate 0382,"Python, SQL, Pandas",1.0,Bachelor's,1,Cybersecurity Analyst,Hire,54865,7
RES-00383,Candidate 0383,"Python, Networking, Linux",0.0,Master's,3,Web Developer,Reject,37251,4
RES-00384,Candidate 0384,"JavaScript, React, HTML, CSS",3.4,Bachelor's,2,Software Developer,Hire,91614,6
RES-00385,Candidate 0385,"Python, SQL, Pandas",3.7,Master's,3,Web Developer,Hire,68071,7
RES-00386,Candidate 0386,"Python, Scikit-learn, SQL",4.2,Bachelor's,3,Software Developer,Hire,45914,4
RES-00387,Candidate 0387,"Python, Networking, Linux",2.0,Bachelor's,1,Web Developer,Reject,78526,2
RES-00388,Candidate 0388,"Java, HTML, CSS",2.9,Master's,0,Web Developer,Reject,64964,4
RES-00389,Candidate 0389,"Python, SQL, Pandas",4.9,Bachelor's,0,Data Analyst,Hire,44834,6
RES-00390,Candidate 0390,"JavaScript, React, HTML, CSS",5.0,Master's,3,Web Developer,Hire,75708,4
RES-00391,Candidate 0391,"Python, SQL, Pandas",6.8,Bachelor's,0,Web Developer,Hire,58043,5
RES-00392,Candidate 0392,"Python, Networking, Linux",0.0,Bachelor's,0,Software Developer,Reject,62072,5
RES-00393,Candidate 0393,"JavaScript, React, HTML, CSS",0.0,Bachelor's,2,Data Analyst,Reject,107582,7
RES-00394,Candidate 0394,"Python, Networking, Linux",7.2,Bachelor's,3,ML Engineer,Reject,70111,5
RES-00395,Candidate 0395,"Python, Networking, Linux",5.0,PhD,1,Web Developer,Reject,66091,2
RES-00396,Candidate 0396,"Python, SQL, Pandas",5.5,Bachelor's,1,Software Developer,Hire,67839,11
RES-00397,Candidate 0397,"JavaScript, React, HTML, CSS",2.8,Master's,1,Web Developer,Hire,63492,6
RES-00398,Candidate 0398,"Python, Networking, Linux",2.3,Bachelor's,1,Web Developer,Reject,71237,5
RES-00399,Candidate 0399,"Python, SQL, Pandas",4.0,Bachelor's,0,ML Engineer,Reject,61678,4
RES-00400,Candidate 0400,"Java, HTML, CSS",1.2,Bachelor's,0,Data Analyst,Reject,83073,4
RES-00401,Candidate 0401,"JavaScript, React, HTML, CSS",0.0,Bachelor's,6,Cybersecurity Analyst,Reject,93642,3
RES-00402,Candidate 0402,"Python, SQL, Pandas",0.7,PhD,2,ML Engineer,Reject,59657,1
RES-00403,Candidate 0403,"Python, Scikit-learn, SQL",3.8,Bachelor's,3,ML Engineer,Reject,28081,3
RES-00404,Candidate 0404,"Python, SQL, Pandas",5.1,Bachelor's,1,Web Developer,Hire,41249,4
RES-00405,Candidate 0405,"Java, HTML, CSS",7.6,Master's,1,Data Analyst,Hire,65597,6
RES-00406,Candidate 0406,"Python, Scikit-learn, SQL",4.4,Master's,1,Web Developer,Hire,73890,1
RES-00407,Candidate 0407,"Python, Scikit-learn, SQL",4.7,Master's,0,ML Engineer,Hire,38660,7
RES-00408,Candidate 0408,"JavaScript, React, HTML, CSS",7.7,Bachelor's,1,Cybersecurity Analyst,Hire,83591,1
RES-00409,Candidate 0409,"Java, HTML, CSS",1.6,Bachelor's,3,Cybersecurity Analyst,Reject,44637,4
RES-00410,Candidate 0410,"Java, HTML, CSS",1.1,Master's,4,ML Engineer,Hire,25000,3
RES-00411,Candidate 0411,"Python, Scikit-learn, SQL",2.2,Bachelor's,1,ML Engineer,Reject,58702,6
RES-00412,Candidate 0412,"Python, SQL, Pandas",3.3,Bachelor's,0,Web Developer,Reject,71673,3
RES-00413,Candidate 0413,"Python, Scikit-learn, SQL",8.6,Bachelor's,6,ML Engineer,Hire,38610,1
RES-00414,Candidate 0414,"JavaScript, React, HTML, CSS",2.6,PhD,3,Data Analyst,Hire,32207,6
RES-00415,Candidate 0415,"JavaScript, React, HTML, CSS",6.8,Bachelor's,3,Software Developer,Hire,56007,7
RES-00416,Candidate 0416,"JavaScript, React, HTML, CSS",2.3,Bachelor's,2,ML Engineer,Reject,45999,6
RES-00417,Candidate 0417,"Python, Scikit-learn, SQL",4.7,Master's,2,Software Developer,Hire,82642,5
RES-00418,Candidate 0418,"Python, Networking, Linux",5.2,Bachelor's,4,Cybersecurity Analyst,Hire,76016,3
RES-00419,Candidate 0419,"Python, Networking, Linux",4.8,Bachelor's,2,Software Developer,Hire,73754,3
RES-00420,Candidate 0420,"JavaScript, React, HTML, CSS",5.4,PhD,2,Web Developer,Reject,34161,2
RES-00421,Candidate 0421,"Java, HTML, CSS",1.8,Master's,1,Web Developer,Hire,37048,6
RES-00422,Candidate 0422,"Python, SQL, Pandas",7.1,Bachelor's,1,ML Engineer,Hire,41240,4
RES-00423,Candidate 0423,"JavaScript, React, HTML, CSS",6.0,Master's,3,ML Engineer,Reject,101355,2
RES-00424,Candidate 0424,"Python, Networking, Linux",1.7,Bachelor's,4,Web Developer,Reject,74210,3
RES-00425,Candidate 0425,"Python, Networking, Linux",4.8,Bachelor's,2,Web Developer,Hire,56812,3
RES-00426,Candidate 0426,"Python, Networking, Linux",0.8,Master's,0,Software Developer,Hire,62325,4
RES-00427,Candidate 0427,"JavaScript, React, HTML, CSS",3.7,Bachelor's,0,Software Developer,Hire,40643,3
RES-00428,Candidate 0428,"Python, Networking, Linux",0.6,PhD,2,Web Developer,Hire,59946,3
RES-00429,Candidate 0429,"Python, Networking, Linux",5.3,Master's,1,ML Engineer,Hire,80647,3
RES-00430,Candidate 0430,"Python, SQL, Pandas",10.9,Bachelor's,1,Web Developer,Hire,65145,5
RES-00431,Candidate 0431,"JavaScript, React, HTML, CSS",7.2,Bachelor's,6,Web Developer,Hire,52152,4
RES-00432,Candidate 0432,"JavaScript, React, HTML, CSS",5.3,Master's,1,Cybersecurity Analyst,Reject,95430,6
RES-00433,Candidate 0433,"Python, Networking, Linux",1.2,Bachelor's,0,Data Analyst,Hire,45420,1
RES-00434,Candidate 0434,"Python, Networking, Linux",4.5,Master's,1,Data Analyst,Hire,47351,5
RES-00435,Candidate 0435,"Python, Scikit-learn, SQL",6.5,Master's,4,Cybersecurity Analyst,Hire,41117,4
RES-00436,Candidate 0436,"Python, Scikit-learn, SQL",3.3,Master's,1,Cybersecurity Analyst,Hire,105780,5
RES-00437,Candidate 0437,"Python, Networking, Linux",3.8,Bachelor's,1,ML Engineer,Reject,64790,2
RES-00438,Candidate 0438,"Python, SQL, Pandas",0.0,Bachelor's,6,Cybersecurity Analyst,Hire,39185,3
RES-00439,Candidate 0439,"JavaScript, React, HTML, CSS",1.4,Bachelor's,1,Cybersecurity Analyst,Reject,64265,7
RES-00440,Candidate 0440,"Java, HTML, CSS",0.0,Master's,3,Web Developer,Reject,64997,4
RES-00441,Candidate 0441,"JavaScript, React, HTML, CSS",8.3,Bachelor's,2,Cybersecurity Analyst,Reject,73555,2
RES-00442,Candidate 0442,"JavaScript, React, HTML, CSS",4.7,Bachelor's,2,Data Analyst,Hire,102912,3
RES-00443,Candidate 0443,"Python, Networking, Linux",5.3,Bachelor's,1,Web Developer,Reject,94084,6
RES-00444,Candidate 0444,"Java, HTML, CSS",3.0,Master's,3,Data Analyst,Hire,29417,3
RES-00445,Candidate 0445,"Python, Scikit-learn, SQL",0.0,Bachelor's,5,Data Analyst,Reject,100487,4
RES-00446,Candidate 0446,"Python, Networking, Linux",3.9,PhD,2,Cybersecurity Analyst,Hire,73189,3
RES-00447,Candidate 0447,"Python, SQL, Pandas",1.9,Master's,1,Data Analyst,Hire,97833,4
RES-00448,Candidate 0448,"Java, HTML, CSS",1.1,Bachelor's,3,Data Analyst,Reject,89381,4
RES-00449,Candidate 0449,"JavaScript, React, HTML, CSS",3.6,Bachelor's,3,Cybersecurity Analyst,Hire,53214,3
RES-00450,Candidate 0450,"Python, Networking, Linux",3.8,Bachelor's,1,Cybersecurity Analyst,Reject,67855,0
RES-00451,Candidate 0451,"Java, HTML, CSS",3.0,Master's,4,ML Engineer,Hire,92912,4
RES-00452,Candidate 0452,"Python, SQL, Pandas",1.6,Bachelor's,6,Web Developer,Hire,59307,3
RES-00453,Candidate 0453,"Python, Scikit-learn, SQL",1.0,Bachelor's,3,Data Analyst,Reject,49459,6
RES-00454,Candidate 0454,"Python, Networking, Linux",3.5,Bachelor's,3,Web Developer,Hire,89390,1
RES-00455,Candidate 0455,"Python, Scikit-learn, SQL",6.6,Master's,2,Data Analyst,Hire,53996,2
RES-00456,Candidate 0456,"JavaScript, React, HTML, CSS",0.0,Master's,0,Web Developer,Reject,66706,3
RES-00457,Candidate 0457,"JavaScript, React, HTML, CSS",1.9,Master's,2,ML Engineer,Reject,82461,4
RES-00458,Candidate 0458,"Python, SQL, Pandas",3.1,Bachelor's,3,ML Engineer,Hire,83650,1
RES-00459,Candidate 0459,"JavaScript, React, HTML, CSS",3.1,Bachelor's,2,Software Developer,Reject,57490,4
RES-00460,Candidate 0460,"Java, HTML, CSS",2.0,Bachelor's,0,ML Engineer,Reject,56601,6
RES-00461,Candidate 0461,"Python, Networking, Linux",8.3,Master's,4,Data Analyst,Hire,64647,4
RES-00462,Candidate 0462,"Python, Scikit-learn, SQL",4.5,Bachelor's,0,ML Engineer,Reject,68337,6
RES-00463,Candidate 0463,"Java, HTML, CSS",1.0,Master's,1,Web Developer,Reject,50623,3
RES-00464,Candidate 0464,"Java, HTML, CSS",0.0,Bachelor's,3,Data Analyst,Reject,43169,7
RES-00465,Candidate 0465,"JavaScript, React, HTML, CSS",3.1,Bachelor's,2,Cybersecurity Analyst,Reject,60713,2
RES-00466,Candidate 0466,"Python, SQL, Pandas",7.2,Master's,1,Data Analyst,Hire,35445,3
RES-00467,Candidate 0467,"JavaScript, React, HTML, CSS",4.0,Bachelor's,3,Software Developer,Hire,61418,3
RES-00468,Candidate 0468,"Python, SQL, Pandas",0.0,Bachelor's,2,Software Developer,Reject,33183,2
RES-00469,Candidate 0469,"Python, Scikit-learn, SQL",0.1,Bachelor's,1,Cybersecurity Analyst,Hire,74436,8
RES-00470,Candidate 0470,"JavaScript, React, HTML, CSS",3.8,Bachelor's,1,Cybersecurity Analyst,Reject,36704,2
RES-00471,Candidate 0471,"JavaScript, React, HTML, CSS",6.2,Bachelor's,0,ML Engineer,Hire,94669,5
RES-00472,Candidate 0472,"JavaScript, React, HTML, CSS",3.9,Bachelor's,2,ML Engineer,Reject,68349,3
RES-00473,Candidate 0473,"Python, Scikit-learn, SQL",3.9,Bachelor's,1,Data Analyst,Reject,90142,4
RES-00474,Candidate 0474,"Java, HTML, CSS",6.2,Master's,1,ML Engineer,Hire,67270,4
RES-00475,Candidate 0475,"Java, HTML, CSS",6.6,Bachelor's,2,Cybersecurity Analyst,Hire,53368,5
RES-00476,Candidate 0476,"JavaScript, React, HTML, CSS",1.8,Bachelor's,4,Web Developer,Hire,81598,4
RES-00477,Candidate 0477,"Python, Scikit-learn, SQL",4.6,Master's,3,Cybersecurity Analyst,Hire,64630,7
RES-00478,Candidate 0478,"Python, Scikit-learn, SQL",1.1,Master's,0,Cybersecurity Analyst,Reject,98884,5
RES-00479,Candidate 0479,"Python, Networking, Linux",0.8,Bachelor's,2,Cybersecurity Analyst,Reject,29091,2
RES-00480,Candidate 0480,"Java, HTML, CSS",5.0,PhD,1,Software Developer,Hire,72856,5
RES-00481,Candidate 0481,"Python, Scikit-learn, SQL",0.0,Bachelor's,0,Cybersecurity Analyst,Reject,69838,4
RES-00482,Candidate 0482,"Python, SQL, Pandas",3.9,Bachelor's,0,Web Developer,Hire,108488,4
RES-00483,Candidate 0483,"Python, Scikit-learn, SQL",4.3,Master's,0,Data Analyst,Reject,52980,1
RES-00484,Candidate 0484,"Python, Scikit-learn, SQL",5.7,Bachelor's,2,Cybersecurity Analyst,Reject,53364,2
RES-00485,Candidate 0485,"Python, SQL, Pandas",0.6,Master's,3,Software Developer,Hire,72322,3
RES-00486,Candidate 0486,"Python, Scikit-learn, SQL",4.5,Bachelor's,3,ML Engineer,Hire,94026,4
RES-00487,Candidate 0487,"Python, SQL, Pandas",3.2,Master's,1,Cybersecurity Analyst,Hire,82364,6
RES-00488,Candidate 0488,"Python, Scikit-learn, SQL",7.2,Bachelor's,1,Data Analyst,Reject,81483,2
RES-00489,Candidate 0489,"Java, HTML, CSS",1.6,Master's,3,Cybersecurity Analyst,Hire,31831,3
RES-00490,Candidate 0490,"Python, Networking, Linux",0.7,Bachelor's,1,Data Analyst,Reject,64756,2
RES-00491,Candidate 0491,"Python, Scikit-learn, SQL",4.8,Bachelor's,3,Software Developer,Hire,46948,10
RES-00492,Candidate 0492,"Java, HTML, CSS",1.4,Bachelor's,1,ML Engineer,Hire,34320,2
